105 797
cog TARA_100_DCM_0.22-3 TARA_100_SRF_0.22-3 TARA_102_DCM_0.22-3 TARA_102_SRF_0.22-3 TARA_109_DCM_0.22-3 TARA_109_SRF_0.22-3 TARA_110_DCM_0.22-3 TARA_110_SRF_0.22-3 TARA_111_DCM_0.22-3 TARA_111_SRF_0.22-3 TARA_112_DCM_0.22-3 TARA_112_SRF_0.22-3 TARA_122_DCM_0.22-3 TARA_122_SRF_0.22-3 TARA_123_SRF_0.22-3 TARA_124_SRF_0.22-3 TARA_125_SRF_0.22-3 TARA_128_DCM_0.22-3 TARA_128_SRF_0.22-3 TARA_132_DCM_0.22-3 TARA_132_SRF_0.22-3 TARA_133_DCM_0.22-3 TARA_133_SRF_0.22-3 TARA_137_DCM_0.22-3 TARA_137_SRF_0.22-3 TARA_138_DCM_0.22-3 TARA_138_SRF_0.22-3 TARA_140_SRF_0.22-3 TARA_141_SRF_0.22-3 TARA_142_DCM_0.22-3 TARA_142_SRF_0.22-3 TARA_145_SRF_0.22-3 TARA_146_SRF_0.22-3 TARA_148_SRF_0.22-3 TARA_149_SRF_0.22-3 TARA_150_DCM_0.22-3 TARA_150_SRF_0.22-3 TARA_151_DCM_0.22-3 TARA_151_SRF_0.22-3 TARA_152_SRF_0.22-3 TARA_018_DCM_0.22-1.6 TARA_018_SRF_0.22-1.6 TARA_023_DCM_0.22-1.6 TARA_023_SRF_0.22-1.6 TARA_025_DCM_0.22-1.6 TARA_025_SRF_0.22-1.6 TARA_030_DCM_0.22-1.6 TARA_030_SRF_0.22-1.6 TARA_031_SRF_0.22-1.6 TARA_032_DCM_0.22-1.6 TARA_032_SRF_0.22-1.6 TARA_033_SRF_0.22-1.6 TARA_034_DCM_0.22-1.6 TARA_034_SRF_0.22-1.6 TARA_036_DCM_0.22-1.6 TARA_036_SRF_0.22-1.6 TARA_038_DCM_0.22-1.6 TARA_038_SRF_0.22-1.6 TARA_039_DCM_0.22-1.6 TARA_041_DCM_0.22-1.6 TARA_041_SRF_0.22-1.6 TARA_042_DCM_0.22-1.6 TARA_042_SRF_0.22-1.6 TARA_045_SRF_0.22-1.6 TARA_048_SRF_0.22-1.6 TARA_004_DCM_0.22-1.6 TARA_004_SRF_0.22-1.6 TARA_052_DCM_0.22-1.6 TARA_052_SRF_0.22-1.6 TARA_056_SRF_0.22-3 TARA_057_SRF_0.22-3 TARA_058_DCM_0.22-3 TARA_062_SRF_0.22-3 TARA_064_DCM_0.22-3 TARA_064_SRF_0.22-3 TARA_065_DCM_0.22-3 TARA_065_SRF_0.22-3 TARA_066_DCM_0.22-3 TARA_066_SRF_0.22-3 TARA_067_SRF_0.22-3 TARA_068_DCM_0.22-3 TARA_068_SRF_0.22-3 TARA_070_SRF_0.22-3 TARA_072_DCM_0.22-3 TARA_072_SRF_0.22-3 TARA_076_DCM_0.22-3 TARA_076_SRF_0.22-3 TARA_078_DCM_0.22-3 TARA_078_SRF_0.22-3 TARA_007_DCM_0.22-1.6 TARA_007_SRF_0.22-1.6 TARA_082_DCM_0.22-3 TARA_082_SRF_0.22-3 TARA_084_SRF_0.22-3 TARA_085_DCM_0.22-3 TARA_085_SRF_0.22-3 TARA_093_DCM_0.22-3 TARA_093_SRF_0.22-3 TARA_094_SRF_0.22-3 TARA_096_SRF_0.22-3 TARA_098_DCM_0.22-3 TARA_098_SRF_0.22-3 TARA_099_SRF_0.22-3 TARA_009_DCM_0.22-1.6 TARA_009_SRF_0.22-1.6 
COG0033 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1 1 0 0 1 0 1 0 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 
COG0043 1 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 
COG0053 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 1 0 
COG0095 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 
COG0158 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 
COG0163 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 1 1 1 0 1 0 1 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 1 0 
COG0170 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 0 0 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 1 0 1 1 1 0 0 
COG0214 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 1 0 1 1 1 0 0 1 1 1 1 0 1 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 
COG0252 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 0 0 0 0 1 0 1 1 1 1 0 1 1 1 1 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1 0 0 1 0 0 1 0 
COG0255 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 
